room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
15344363,1438,89218965,Shared room,,New York,Manhattan,Harlem,6,4.0,2,1.0,,42.0,,Central Harlem minutes to downtown,Apartment,2017-07-15 21:25:35.444909,40.802194,-73.946363,0101000020E61000003FC91D36917C52C01286014BAE664440
16146960,1438,24825969,Shared room,,New York,Queens,Ditmars Steinway,2,0.0,1,1.0,,42.0,,Centrally located Astoria Apartment,Apartment,2017-07-15 21:25:31.967769,40.777377,-73.917724,0101000020E610000047B071FDBB7A52C0D0D4EB1681634440
9221158,1438,6186869,Shared room,,New York,Manhattan,Hell's Kitchen,29,4.5,3,1.0,,50.0,,Kase's Hells Kitchen Hideaway,Apartment,2017-07-15 21:25:31.956419,40.763429,-73.986593,0101000020E61000009A5DF756247F52C0B4E89D0AB8614440
14973979,1438,427791,Shared room,,New York,Manhattan,East Harlem,2,0.0,2,1.0,,60.0,,Cozy & Peaceful Harlem Apartment,Apartment,2017-07-15 21:25:31.953250,40.797416,-73.937526,0101000020E610000095490D6D007C52C050A73CBA11664440
6692570,1438,23877279,Shared room,,New York,Manhattan,Harlem,44,4.5,2,1.0,,45.0,,Come crash on our couch in Harlem!!,Apartment,2017-07-15 21:25:31.948557,40.829292,-73.942343,0101000020E610000054A703594F7C52C0CF6A813D266A4440
19292649,1438,135071112,Shared room,,New York,Manhattan,Financial District,0,0.0,2,1.0,,60.0,,Sunny room with a twin bed in safe area,Apartment,2017-07-15 21:25:31.946253,40.706102,-74.004657,0101000020E6100000A3ACDF4C4C8052C0F2D1E28C615A4440
17974136,1438,15604776,Shared room,,New York,Queens,Astoria,1,0.0,1,1.0,,45.0,,Cozy Space in Astoria,Apartment,2017-07-15 21:25:31.940773,40.768433,-73.929391,0101000020E6100000978C63247B7B52C0661536035C624440
14263143,1438,32601368,Shared room,,New York,Brooklyn,Bedford-Stuyvesant,13,5.0,2,1.0,,50.0,,Comfy sofa bed in Bushwick 1 bdrm,Apartment,2017-07-15 21:25:31.937460,40.692011,-73.92903,0101000020E61000002FC03E3A757B52C073BC02D193584440
13726934,1438,2208993,Shared room,,New York,Manhattan,East Village,5,5.0,1,1.0,,49.0,,East Village Manhattan NYC Sofa!,Apartment,2017-07-15 21:25:31.934948,40.723756,-73.98303,0101000020E6100000293FA9F6E97E52C053245F09A45C4440
19227205,1438,23972508,Shared room,,New York,Brooklyn,Bedford-Stuyvesant,0,0.0,1,1.0,,45.0,,"New Sunlit, Comfy and Cozy Share",Apartment,2017-07-15 21:25:29.112984,40.681086,-73.911428,0101000020E6100000282A1BD6547A52C0B9E177D32D574440
12430573,1438,30096457,Shared room,,New York,Brooklyn,Bedford-Stuyvesant,19,5.0,2,1.0,,38.0,,Clean Cozy & Modern Brooklyn Bed,Apartment,2017-07-15 21:22:17.790255,40.682092,-73.946257,0101000020E61000001C2785798F7C52C07E6E68CA4E574440
13717248,1438,1125196,Shared room,,New York,Brooklyn,Bushwick,10,5.0,1,1.0,,40.0,,Upper bunk at Invisible College: a hacker loft,Loft,2017-07-15 21:22:17.778627,40.700939,-73.92718,0101000020E61000005760C8EA567B52C0D7BE805EB8594440
